Date,Voucher_Type,Ledger_Name,CoA_Category,Amount
11/10/2018,Payment,FUND TRANSFER,Fund Transfer,11848.0
11/10/2018,Payment,FUND TRANSFER,Fund Transfer,1293.33
12/10/2018,Payment,ATM WITHDRAWAL NEWDELHI,ATM Withdrawal,3500.0
14/10/2018,Payment,UPI TRANSFER,UPI & Digital Payment,51.0
16/10/2018,Payment,BANK FEE ATMCASH 388,Bank Charges & Fees,23.6
21/10/2018,Payment,ATM WITHDRAWAL DELHI,ATM Withdrawal,500.0
22/10/2018,Payment,BANK FEE ATMCASH 670,Bank Charges & Fees,23.6
22/10/2018,Payment,BANK FEE ATMNONCASH,Bank Charges & Fees,10.04
27/10/2018,Payment,UPI TRANSFER,UPI & Digital Payment,10.5
27/10/2018,Payment,UPI TRANSFER,UPI & Digital Payment,21.0
03/11/2018,Receipt,SALARY SIZWAN,Payroll,16690.0
03/11/2018,Payment,PHONEPERECHPO,Utilities & Telecom,139.0
05/11/2018,Payment,"BESTDEAL,POSDEBI",E-Commerce & Retail,1.0
06/11/2018,Payment,UKARHEALTHCAREPO,Healthcare & Medical,300.0
06/11/2018,Payment,UPI TRANSFER,UPI & Digital Payment,5.0
07/11/2018,Payment,CREDIT CARD AUTOPAY,Credit Card Repayment,2283.0
07/11/2018,Payment,UKARHEALTHCAREPO,Healthcare & Medical,200.0
08/11/2018,Payment,CREDIT CARD AUTOPAY,Credit Card Repayment,13299.0
11/11/2018,Payment,UPI TRANSFER,UPI & Digital Payment,10.0
11/11/2018,Payment,UPI TRANSFER,UPI & Digital Payment,20.0
11/11/2018,Receipt,UPI TRANSFER,UPI & Digital Payment,500.0
11/11/2018,Payment,UPI TRANSFER,UPI & Digital Payment,560.0
14/11/2018,Payment,UPI TRANSFER,UPI & Digital Payment,90.0
18/11/2018,Payment,UPI TRANSFER,UPI & Digital Payment,127.95
18/11/2018,Payment,UPI TRANSFER,UPI & Digital Payment,24.48
05/12/2018,Payment,CREDIT CARD AUTOPAY,Credit Card Repayment,1832.0
05/12/2018,Receipt,CREDIT CARD AUTOPAY,Credit Card Repayment,1832.0
05/12/2018,Payment,CREDIT CARD AUTOPAY,Credit Card Repayment,1832.0
05/12/2018,Receipt,CREDIT CARD AUTOPAY,Credit Card Repayment,1832.0
08/12/2018,Payment,CREDIT CARD AUTOPAY,Credit Card Repayment,1866.0
08/12/2018,Receipt,CREDIT CARD AUTOPAY,Credit Card Repayment,1866.0
08/12/2018,Receipt,UPI TRANSFER,UPI & Digital Payment,20.0
09/12/2018,Payment,CREDIT CARD AUTOPAY,Credit Card Repayment,14078.0
09/12/2018,Receipt,CREDIT CARD AUTOPAY,Credit Card Repayment,14078.0
09/12/2018,Payment,CREDIT CARD AUTOPAY,Credit Card Repayment,1647.0
09/12/2018,Receipt,CREDIT CARD AUTOPAY,Credit Card Repayment,1647.0
10/12/2018,Receipt,SALARY SIZWAN,Payroll,18690.0
10/12/2018,Payment,ATM WITHDRAWAL NEWDELHI,ATM Withdrawal,15000.0
10/12/2018,Payment,CASH DEPOSIT 10 DEC 18,Cash Deposit,2281.61
12/12/2018,Payment,FUND TRANSFER,Fund Transfer,1646.76
01/01/2019,Receipt,CREDITINTERESTCAPITALISED,Credit Card Repayment,13.0
05/01/2019,Receipt,ARIF,Uncategorized,1.0
05/01/2019,Receipt,ARIF,Uncategorized,1831.0
05/01/2019,Receipt,CREDIT CARD AUTOPAY,Credit Card Repayment,1913.0
05/01/2019,Payment,CREDIT CARD AUTOPAY,Credit Card Repayment,1913.0
07/01/2019,Payment,CREDIT CARD AUTOPAY,Credit Card Repayment,15365.0
07/01/2019,Receipt,CREDIT CARD AUTOPAY,Credit Card Repayment,15365.0
07/01/2019,Payment,CREDIT CARD AUTOPAY,Credit Card Repayment,2076.0
07/01/2019,Receipt,CREDIT CARD AUTOPAY,Credit Card Repayment,2076.0
07/01/2019,Payment,CREDIT CARD AUTOPAY,Credit Card Repayment,2194.0
07/01/2019,Receipt,CREDIT CARD AUTOPAY,Credit Card Repayment,2194.0
08/01/2019,Payment,CASH DEPOSIT 08 JAN 19,Cash Deposit,1847.83
09/01/2019,Receipt,SALARY SIZWAN,Payroll,15690.0
10/01/2019,Payment,FUND TRANSFER,Fund Transfer,15364.83
23/01/2019,Receipt,SALARY ADVANCE,Payroll,30000.0
23/01/2019,Payment,ATM WITHDRAWAL NEWDELHI,ATM Withdrawal,1500.0
25/01/2019,Payment,BANK FEE ATMCASH 805,Bank Charges & Fees,23.6
26/01/2019,Payment,ATM WITHDRAWAL WESTDELHI,ATM Withdrawal,20000.0
26/01/2019,Payment,ATM WITHDRAWAL WESTDELHI,ATM Withdrawal,500.0
29/01/2019,Payment,UPI TRANSFER,UPI & Digital Payment,5978.0
30/01/2019,Payment,IRCTC,Travel & Transport,830.98
02/02/2019,Payment,ATM WITHDRAWAL DELHI,ATM Withdrawal,500.0
04/02/2019,Receipt,KGNRAILWAX X4158 ON,Travel & Transport,1.0
04/02/2019,Receipt,KGNRAILWAX X4158,Travel & Transport,1800.0
04/02/2019,Payment,ATM WITHDRAWAL DELHI,ATM Withdrawal,700.0
04/02/2019,Receipt,KGNRAILWAX X4158,Travel & Transport,500.0
05/02/2019,Payment,CREDIT CARD AUTOPAY,Credit Card Repayment,2428.0
05/02/2019,Receipt,CREDIT CARD AUTOPAY,Credit Card Repayment,2428.0
05/02/2019,Payment,CREDIT CARD AUTOPAY,Credit Card Repayment,1862.0
07/02/2019,Payment,CREDIT CARD AUTOPAY,Credit Card Repayment,2181.0
07/02/2019,Receipt,CREDIT CARD AUTOPAY,Credit Card Repayment,2181.0
16/02/2019,Payment,UPI TRANSFER,UPI & Digital Payment,10.0
17/02/2019,Receipt,ABDULALI,Uncategorized,1.0
17/02/2019,Receipt,ABDUL,Uncategorized,480.0
18/02/2019,Payment,ATM WITHDRAWAL DELHI,ATM Withdrawal,600.0
04/03/2019,Receipt,UPI TRANSFER,UPI & Digital Payment,500.0
04/03/2019,Payment,UPI TRANSFER,UPI & Digital Payment,500.0
05/03/2019,Payment,CREDIT CARD AUTOPAY,Credit Card Repayment,2398.0
05/03/2019,Receipt,CREDIT CARD AUTOPAY,Credit Card Repayment,2398.0
06/03/2019,Payment,CASH DEPOSIT 06 MAR 19,Cash Deposit,595.96
10/03/2019,Payment,CREDIT CARD AUTOPAY,Credit Card Repayment,2211.0
10/03/2019,Receipt,CREDIT CARD AUTOPAY,Credit Card Repayment,2211.0
18/03/2019,Receipt,MOHAMMADKAUSAR,Uncategorized,1000.0
18/03/2019,Payment,CASH DEPOSIT 18 MAR 19,Cash Deposit,499.58
22/03/2019,Payment,ATM WITHDRAWAL EASTDELHI,ATM Withdrawal,500.0
01/04/2019,Receipt,CREDITINTERESTCAPITALISED,Credit Card Repayment,16.0
